UserID,Username,LoginTime,IPAddress,LocationCity,LocationCountry,DeviceType,LoginStatus,SessionDuration,RiskScore,is_anomaly,anomaly_score
USR001,john.smith,2025-08-24 17:30:10.460591,192.168.14.82,Los Angeles,Canada,Mobile,Success,153.0,30.58374267656056,0,-0.5391252280683668
USR004,lisa.brown,2025-08-15 11:03:10.460591,192.168.73.87,Los Angeles,USA,Mobile,Success,153.0,6.409415005516115,0,-0.5220682524127862
USR002,sarah.jones,2025-08-15 23:12:10.460591,192.168.46.149,Los Angeles,France,Mobile,Success,259.0,58.70922977995253,0,-0.5149574550720053
USR001,john.smith,2025-08-13 16:42:10.460591,192.168.111.2,New York,France,Mobile,Success,453.0,34.71820840353851,0,-0.45263153757887803
USR001,john.smith,2025-09-04 15:30:10.460591,192.168.89.127,Phoenix,USA,Tablet,Success,478.0,0.9773314254789671,0,-0.5294689443663719
USR003,mike.wilson,2025-09-06 15:51:10.460591,192.168.81.35,Philadelphia,Germany,Laptop,Success,306.0,23.42995325288166,0,-0.48734492200657203
USR002,sarah.jones,2025-08-19 18:00:10.460591,192.168.232.241,New York,Germany,Laptop,Success,375.0,34.962227889186046,0,-0.43638106643721386
USR001,john.smith,2025-08-26 03:30:10.460591,192.168.55.101,Phoenix,Germany,Tablet,Success,233.0,63.906535422650215,0,-0.5610451742605908
USR004,lisa.brown,2025-09-01 02:34:10.460591,192.168.88.164,Chicago,France,Mobile,Success,88.0,51.473663435377496,0,-0.5552423648201864
USR004,lisa.brown,2025-08-27 14:17:10.460591,192.168.69.109,Chicago,UK,Mobile,Success,153.0,31.18140415944229,0,-0.47008174339484804
USR004,lisa.brown,2025-09-01 15:37:10.460591,192.168.197.36,Chicago,Canada,Desktop,Success,41.0,34.79282457198576,0,-0.5158862408345639
USR005,david.garcia,2025-08-22 22:29:10.460591,192.168.66.108,Philadelphia,Canada,Tablet,Success,471.0,39.14982107034315,0,-0.5255222750481583
USR003,mike.wilson,2025-09-09 09:31:10.460591,192.168.66.254,Philadelphia,Germany,Laptop,Success,124.0,37.25455187134011,0,-0.4677735771958951
USR001,john.smith,2025-08-18 16:39:10.460591,192.168.108.242,New York,UK,Laptop,Success,217.0,35.031653858646095,0,-0.46544469469588357
USR001,john.smith,2025-08-31 11:42:10.460591,192.168.245.253,Los Angeles,USA,Laptop,Success,367.0,9.474488252336215,1,-0.5742890050008271
USR003,mike.wilson,2025-09-03 00:28:10.460591,192.168.203.236,New York,UK,Mobile,Success,61.0,65.02520462753927,0,-0.5480379953465199
USR004,lisa.brown,2025-08-26 16:23:10.460591,192.168.147.229,Los Angeles,Canada,Desktop,Failed,,75.18131038920262,1,-0.617709492545577
USR004,lisa.brown,2025-08-21 16:29:10.460591,192.168.224.202,Chicago,France,Mobile,Success,39.0,32.38821677184054,0,-0.4765888868105596
USR005,david.garcia,2025-08-22 18:15:10.460591,192.168.179.169,Los Angeles,Germany,Tablet,Success,208.0,20.551271415115636,0,-0.49461061232364956
USR003,mike.wilson,2025-09-04 11:28:10.460591,192.168.202.77,New York,USA,Laptop,Failed,,39.56293758486878,1,-0.5918840231184641
USR001,john.smith,2025-09-07 13:49:10.460591,192.168.65.46,Houston,Germany,Desktop,Failed,,79.33491228695111,1,-0.6614192015745052
USR004,lisa.brown,2025-08-24 20:08:10.460591,192.168.1.102,Chicago,UK,Mobile,Success,340.0,46.91901181973688,0,-0.5675696144473928
USR002,sarah.jones,2025-08-25 13:05:10.460591,192.168.100.53,San Antonio,Canada,Mobile,Success,145.0,28.215567457042006,0,-0.4996269647705208
USR005,david.garcia,2025-09-01 18:20:10.460591,192.168.228.124,San Antonio,France,Desktop,Success,45.0,31.177945127880413,0,-0.5201295159099145
USR003,mike.wilson,2025-08-26 23:09:10.460591,192.168.57.58,San Antonio,UK,Tablet,Success,53.0,62.70762082398382,0,-0.5541326577993041
USR001,john.smith,2025-08-26 16:30:10.460591,192.168.244.184,San Antonio,France,Mobile,Success,54.0,36.69870873556921,0,-0.4750539059348761
USR003,mike.wilson,2025-09-07 00:18:10.460591,192.168.92.198,Los Angeles,USA,Tablet,Success,367.0,30.36817080975373,1,-0.6127614496138543
USR005,david.garcia,2025-09-10 19:41:10.460591,192.168.20.205,San Antonio,France,Desktop,Success,294.0,37.2759037042107,0,-0.5034736768211912
USR005,david.garcia,2025-08-22 23:16:10.460591,192.168.142.30,New York,Germany,Tablet,Success,23.0,63.90087737963533,0,-0.5407757505304176
USR001,john.smith,2025-08-24 19:23:10.460591,192.168.108.252,Chicago,Germany,Laptop,Success,79.0,41.64773614313853,0,-0.5459426450003682
USR003,mike.wilson,2025-08-19 19:30:10.460591,192.168.42.24,Phoenix,UK,Tablet,Success,420.0,48.77581360023875,0,-0.477852307383683
USR005,david.garcia,2025-09-02 19:39:10.460591,192.168.137.126,Houston,Germany,Tablet,Success,170.0,53.65879902368918,0,-0.5034549676509383
USR002,sarah.jones,2025-09-07 14:35:10.460591,192.168.147.90,Phoenix,Canada,Desktop,Success,52.0,29.442346330600618,0,-0.5377930545996844
USR001,john.smith,2025-08-27 18:54:10.460591,192.168.34.52,Phoenix,France,Tablet,Success,444.0,22.216817833164974,0,-0.49596065112944415
USR002,sarah.jones,2025-08-19 19:40:10.460591,192.168.78.100,San Antonio,France,Desktop,Success,160.0,54.506876885956885,0,-0.5047963275601624
USR002,sarah.jones,2025-08-26 18:17:10.460591,192.168.218.55,San Antonio,USA,Laptop,Success,324.0,0.0,0,-0.5053770679040909
USR005,david.garcia,2025-08-22 19:00:10.460591,192.168.222.72,Philadelphia,USA,Mobile,Success,219.0,18.496828665769854,0,-0.4920188543636412
USR005,david.garcia,2025-08-29 02:23:10.460591,192.168.64.89,Chicago,Canada,Desktop,Success,184.0,51.27579290912105,1,-0.6083574249029483
USR001,john.smith,2025-08-31 06:33:10.460591,192.168.32.31,Chicago,USA,Tablet,Success,117.0,27.61144754669607,1,-0.6221097773944718
USR002,sarah.jones,2025-09-09 19:45:10.460591,192.168.186.210,New York,Germany,Laptop,Success,404.0,47.41337863795699,0,-0.44916246940734494
USR005,david.garcia,2025-08-16 17:55:10.460591,192.168.37.137,Houston,Canada,Laptop,Success,51.0,30.939422956808322,0,-0.5588382097254392
USR001,john.smith,2025-09-04 19:00:10.460591,192.168.230.255,Phoenix,UK,Laptop,Success,404.0,38.897979616786856,0,-0.4690148239118676
USR002,sarah.jones,2025-08-29 18:20:10.460591,192.168.240.176,Houston,USA,Desktop,Success,249.0,3.8047482130644426,0,-0.5160489905230945
USR005,david.garcia,2025-08-28 18:21:10.460591,192.168.165.58,Houston,Canada,Mobile,Success,74.0,31.545244769257614,0,-0.5028448271175483
USR005,david.garcia,2025-08-13 18:11:10.460591,192.168.37.229,Philadelphia,USA,Tablet,Success,360.0,4.27418263983439,0,-0.5158830975430667
USR002,sarah.jones,2025-09-10 15:09:10.460591,192.168.8.200,New York,UK,Mobile,Success,372.0,22.25837669547007,0,-0.4553218457240715
USR001,john.smith,2025-08-27 18:32:10.460591,192.168.158.165,San Antonio,Germany,Laptop,Success,329.0,24.939048023434108,0,-0.46705269159921287
USR004,lisa.brown,2025-08-12 13:00:10.460591,192.168.233.109,Houston,UK,Tablet,Failed,,76.52187654713657,1,-0.6194810717779698
USR005,david.garcia,2025-08-31 17:06:10.460591,192.168.204.206,Philadelphia,France,Laptop,Success,413.0,23.379611264763028,0,-0.532351668501509
USR002,sarah.jones,2025-08-23 15:31:10.460591,192.168.248.115,Phoenix,France,Mobile,Success,180.0,35.86834465620478,0,-0.5105937992945296
USR004,lisa.brown,2025-09-04 14:35:10.460591,192.168.100.130,New York,Germany,Tablet,Success,457.0,33.86311982555843,0,-0.45276737333091094
USR005,david.garcia,2025-08-16 14:40:10.460591,192.168.72.225,New York,Canada,Laptop,Success,59.0,31.710859205980753,0,-0.5437634729957362
USR004,lisa.brown,2025-09-05 09:16:10.460591,192.168.12.111,Houston,France,Tablet,Success,375.0,25.3509384877988,0,-0.5118105506433881
USR002,sarah.jones,2025-08-31 05:08:10.460591,192.168.142.227,San Antonio,USA,Tablet,Success,447.0,44.01384087794419,1,-0.6113742415112826
USR005,david.garcia,2025-08-13 10:26:10.460591,192.168.8.151,Houston,France,Desktop,Success,86.0,35.177162431266915,0,-0.4974183548552075
USR001,john.smith,2025-08-14 13:14:10.460591,192.168.108.198,Phoenix,USA,Laptop,Success,106.0,6.260282813105576,0,-0.5055655673596412
USR004,lisa.brown,2025-09-04 17:40:10.460591,192.168.33.186,Chicago,France,Laptop,Success,417.0,33.4363993017464,0,-0.4712564690008377
USR001,john.smith,2025-08-22 12:41:10.460591,192.168.134.132,Houston,Canada,Mobile,Success,212.0,38.56137019842046,0,-0.5137909404145918
USR004,lisa.brown,2025-08-30 07:41:10.460591,192.168.77.254,San Antonio,USA,Tablet,Success,477.0,13.529901823846602,1,-0.5961830384576488
USR001,john.smith,2025-09-10 15:36:10.460591,192.168.60.46,Houston,Germany,Desktop,Success,117.0,30.86153532808877,0,-0.4781247711090848
USR003,mike.wilson,2025-08-18 19:13:10.460591,192.168.19.20,Chicago,UK,Mobile,Success,289.0,44.26253116108884,0,-0.4953088207059689
USR002,sarah.jones,2025-09-02 13:52:10.460591,192.168.124.90,Phoenix,France,Desktop,Success,437.0,21.276754963225702,0,-0.48080006662431485
USR002,sarah.jones,2025-08-26 21:29:10.460591,192.168.145.14,Chicago,France,Tablet,Success,269.0,35.6376782468422,0,-0.49794098082471977
USR004,lisa.brown,2025-09-07 12:43:10.460591,192.168.112.82,Los Angeles,USA,Mobile,Success,280.0,0.0,0,-0.5593735622881115
USR004,lisa.brown,2025-08-24 23:04:10.460591,192.168.76.160,Phoenix,Germany,Desktop,Success,276.0,56.62709556318582,0,-0.5520811798955221
USR005,david.garcia,2025-08-21 05:38:10.460591,192.168.136.62,Los Angeles,UK,Mobile,Success,322.0,56.29810390958078,0,-0.5574459062735844
USR003,mike.wilson,2025-08-25 12:08:10.460591,192.168.138.236,Philadelphia,Germany,Laptop,Success,90.0,25.125492453142318,0,-0.46551821197168725
USR003,mike.wilson,2025-09-03 19:35:10.460591,192.168.172.198,New York,Germany,Tablet,Success,314.0,42.893878304000204,0,-0.4421988467497349
USR002,sarah.jones,2025-08-24 17:29:10.460591,192.168.243.129,Philadelphia,Canada,Tablet,Success,259.0,33.298402472578324,0,-0.5375374584494644
USR004,lisa.brown,2025-08-27 20:36:10.460591,192.168.206.172,New York,Canada,Tablet,Success,150.0,51.72941750260051,0,-0.5096603873247149
USR003,mike.wilson,2025-08-30 14:55:10.460591,192.168.11.148,San Antonio,USA,Laptop,Success,306.0,12.417529466414923,0,-0.5496026890434367
USR002,sarah.jones,2025-08-13 12:49:10.460591,192.168.185.200,Phoenix,France,Desktop,Success,374.0,23.740423739031293,0,-0.4831404748116335
USR002,sarah.jones,2025-09-09 01:32:10.460591,192.168.213.36,Phoenix,France,Tablet,Success,399.0,61.27987333178941,0,-0.5662763283725851
USR002,sarah.jones,2025-08-16 15:18:10.460591,192.168.58.193,Philadelphia,Canada,Tablet,Success,367.0,24.488719355000228,0,-0.5401972735464966
USR003,mike.wilson,2025-09-09 19:23:10.460591,192.168.198.2,Philadelphia,France,Laptop,Success,94.0,41.91011496720005,0,-0.44193273935280986
USR002,sarah.jones,2025-08-22 17:37:10.460591,192.168.247.11,Los Angeles,USA,Laptop,Success,233.0,8.290025103652507,0,-0.495134545006093
USR005,david.garcia,2025-09-06 13:39:10.460591,192.168.186.57,Houston,USA,Laptop,Success,229.0,0.0,1,-0.5763956528542947
USR002,sarah.jones,2025-08-15 15:50:10.460591,192.168.21.38,New York,France,Mobile,Success,155.0,28.124397485374864,0,-0.4510785561765638
USR003,mike.wilson,2025-09-05 14:30:10.460591,192.168.71.231,San Antonio,USA,Desktop,Success,351.0,2.072232029382861,0,-0.5285216041717998
USR005,david.garcia,2025-08-19 11:12:10.460591,192.168.241.133,Phoenix,France,Desktop,Success,443.0,33.84645977829898,0,-0.4967915357688031
USR003,mike.wilson,2025-08-28 18:31:10.460591,192.168.214.89,New York,Canada,Mobile,Success,197.0,33.47446824283214,0,-0.4551378779688062
USR002,sarah.jones,2025-08-24 22:15:10.460591,192.168.118.194,Chicago,France,Mobile,Success,370.0,42.62941352315497,0,-0.5594307612600301
USR002,sarah.jones,2025-08-28 11:30:10.460591,192.168.33.210,Houston,UK,Desktop,Success,353.0,39.12621527653525,0,-0.48141728013605023
USR004,lisa.brown,2025-09-02 16:59:10.460591,192.168.27.66,Phoenix,UK,Laptop,Success,296.0,34.10095200159513,0,-0.4474853714330928
USR003,mike.wilson,2025-08-15 21:31:10.460591,192.168.174.30,New York,USA,Mobile,Success,247.0,21.31453557262621,0,-0.49270364853039467
USR005,david.garcia,2025-08-17 18:15:10.460591,192.168.91.112,Phoenix,USA,Laptop,Success,237.0,9.006032366777685,0,-0.5682836661516059
USR003,mike.wilson,2025-08-27 12:43:10.460591,192.168.80.238,Philadelphia,Canada,Tablet,Success,177.0,35.74335438405092,0,-0.48930606128305143
USR001,john.smith,2025-09-02 20:13:10.460591,192.168.143.19,Phoenix,France,Laptop,Success,15.0,38.94322260861945,0,-0.4708255382952435
USR004,lisa.brown,2025-09-04 16:21:10.460591,192.168.219.222,Los Angeles,Canada,Mobile,Success,352.0,30.07647795536822,0,-0.47292006302448747
USR004,lisa.brown,2025-08-18 15:32:10.460591,192.168.44.63,New York,Canada,Desktop,Success,232.0,20.938293703411723,0,-0.5118139550226547
USR002,sarah.jones,2025-09-09 16:43:10.460591,192.168.105.64,Phoenix,USA,Desktop,Success,399.0,0.0,0,-0.5157921113746865
USR002,sarah.jones,2025-09-09 06:22:10.460591,192.168.132.102,Philadelphia,USA,Laptop,Success,369.0,13.615396074106219,0,-0.5305572948332342
USR005,david.garcia,2025-09-02 05:36:10.460591,192.168.144.38,Phoenix,Canada,Mobile,Success,157.0,57.088333298989525,0,-0.5609854765371627
USR002,sarah.jones,2025-08-24 17:00:10.460591,192.168.196.127,Phoenix,Germany,Tablet,Success,462.0,34.13983982141295,0,-0.5154938063328369
USR001,john.smith,2025-08-19 18:51:10.460591,192.168.168.226,New York,France,Mobile,Success,133.0,37.37468683459817,0,-0.45811087901982817
USR002,sarah.jones,2025-09-09 15:55:10.460591,192.168.109.43,Los Angeles,France,Laptop,Success,246.0,37.12718709229213,0,-0.4426541813467089
USR004,lisa.brown,2025-08-23 11:26:10.460591,192.168.74.172,Phoenix,Germany,Mobile,Success,292.0,28.55045982511645,0,-0.522267213864831
USR004,lisa.brown,2025-08-31 15:35:10.460591,192.168.178.27,Houston,UK,Tablet,Success,249.0,34.454920958191636,0,-0.550992619253686
USR002,sarah.jones,2025-08-26 04:05:10.460591,192.168.167.88,Houston,USA,Tablet,Success,40.0,31.983450603219588,0,-0.5514195700347015
USR001,john.smith,2025-09-05 13:04:10.460591,192.168.246.12,Los Angeles,Canada,Desktop,Success,345.0,38.38103659291942,0,-0.49988682776451654
USR004,lisa.brown,2025-08-14 10:48:10.460591,192.168.66.159,Chicago,France,Desktop,Success,367.0,33.86194641813077,0,-0.4995391642127681
USR004,lisa.brown,2025-08-18 13:12:10.460591,192.168.198.202,Phoenix,Germany,Desktop,Success,331.0,23.914645113848202,0,-0.4821878481128257
USR001,john.smith,2025-09-06 16:38:10.460591,192.168.26.203,New York,USA,Desktop,Success,153.0,4.748204700199171,0,-0.5634375737290255
USR002,sarah.jones,2025-08-22 15:07:10.460591,192.168.57.57,New York,France,Laptop,Success,394.0,31.988279195552227,0,-0.4568515557739114
USR001,john.smith,2025-08-28 23:00:10.460591,192.168.210.89,Houston,France,Desktop,Success,93.0,57.9679060926972,0,-0.5244476815672356
USR004,lisa.brown,2025-08-16 17:46:10.460591,192.168.80.22,Phoenix,France,Desktop,Success,135.0,20.25598320610046,0,-0.5419449317589239
USR003,mike.wilson,2025-09-04 15:45:10.460591,192.168.234.110,Houston,France,Desktop,Success,65.0,31.010537928760222,0,-0.45674328304524664
USR004,lisa.brown,2025-09-08 16:39:10.460591,192.168.244.234,Chicago,USA,Mobile,Success,26.0,14.118357038343454,0,-0.5144824123671263
USR003,mike.wilson,2025-08-12 15:45:10.460591,192.168.213.128,San Antonio,France,Mobile,Success,465.0,39.42576903192075,0,-0.45849221230526926
USR004,lisa.brown,2025-09-09 08:30:10.460591,192.168.111.96,Houston,Canada,Mobile,Success,287.0,26.571989277780943,0,-0.507924015029759
USR003,mike.wilson,2025-08-31 18:52:10.460591,192.168.17.185,San Antonio,Germany,Mobile,Success,219.0,22.242413596543788,0,-0.5261705275802083
USR003,mike.wilson,2025-09-07 14:50:10.460591,192.168.251.252,San Antonio,UK,Desktop,Success,204.0,35.42864123892414,0,-0.5335369339602347
USR001,john.smith,2025-08-28 14:53:10.460591,192.168.253.87,Phoenix,Germany,Desktop,Success,445.0,26.91617407587185,0,-0.47705397613506123
USR002,sarah.jones,2025-09-02 16:50:10.460591,192.168.250.59,Los Angeles,UK,Laptop,Success,254.0,35.93005052074183,0,-0.4489255123500504
